"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract"
"Doering J.; Fairbank M.; Markose S.","Doering, Jonathan (57200317703); Fairbank, Michael (55220668000); Markose, Sheri (56922492800)","57200317703; 55220668000; 56922492800","Convolutional neural networks applied to high-frequency market microstructure forecasting","2017","2017 9th Computer Science and Electronic Engineering Conference, CEEC 2017 - Proceedings","","","8101595","31","36","5","21","10.1109/CEEC.2017.8101595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040763845&doi=10.1109%2fCEEC.2017.8101595&partnerID=40&md5=13778bdc5e98aebe30e059107f8f19b1","Highly sophisticated artificial neural networks have achieved unprecedented performance across a variety of complex real-world problems over the past years, driven by the ability to detect significant patterns autonomously. Modern electronic stock markets produce large volumes of data, which are very suitable for use with these algorithms. This research explores new scientific ground by designing and evaluating a convolutional neural network in predicting future financial outcomes. A visually inspired transformation process translates high-frequency market microstructure data from the London Stock Exchange into four market-event based input channels, which are used to train six deep networks. Primary results indicate that con-volutional networks behave reasonably well on this task and extract interesting microstructure patterns, which are in line with previous theoretical findings. Furthermore, it demonstrates a new approach using modern deep-learning techniques for exploiting and analysing market microstructure behaviour. © 2017 IEEE."
"Liu H.; Zou J.; Ravishanker N.","Liu, Haitao (57216375924); Zou, Jian (53665013500); Ravishanker, Nalini (57203093070)","57216375924; 53665013500; 57203093070","Multiple day biclustering of high-frequency financial time series","2018","Stat","7","1","e176","","","","6","10.1002/sta4.176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042209735&doi=10.1002%2fsta4.176&partnerID=40&md5=978e54363ba76c71ff87772eb53392b1","With recent technological advances, high-frequency transaction-by-transaction data are widely available to investors and researchers. To explore the microstructure of variability of stock prices on transaction-level intra-day data and to dynamically study patterns of comovement over multiple trading days, we propose a multiple day time series biclustering algorithm (CC-MDTSB) that extends the time series biclustering algorithm (CC-TSB). For identifying biclusters within each trading day, our algorithm provides a faster alternative to the random replacement method in the CC-TSB algorithm. Moreover, our algorithm does not require prespecification of the number of biclusters for each trading day. Instead, we set a threshold on the number of stocks within the biclusters to yield an adaptive stopping criterion for multiple day analysis. An analysis of the biclusters determined over multiple trading days enables us to study the dynamic behaviour of stocks over time. We effectively estimate the comovement probability of each m-tuple of stocks conditional on the other stocks within the dynamic biclusters and propose a method to forecast comovement days using a nonparametric double exponential smoothing procedure. Copyright © 2018 John Wiley & Sons, Ltd. Copyright © 2018 John Wiley & Sons, Ltd."
"Hsieh T.-H.; Li Y.; McKillop D.G.; Wu Y.","Hsieh, Tsung-Han (26026582500); Li, Youwei (55876099300); McKillop, Donal G. (35615476300); Wu, Yuliang (36451464800)","26026582500; 55876099300; 35615476300; 36451464800","Liquidity skewness in the London Stock Exchange","2018","International Review of Financial Analysis","56","","","12","18","6","5","10.1016/j.irfa.2017.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039717110&doi=10.1016%2fj.irfa.2017.12.006&partnerID=40&md5=05ffde7b9dfc040552417619b66c7ac0","We study liquidity on the London Stock Exchange. We find that the average bid-ask spread declines, but that the skewness of the spread increases. These results are robust to firm size, trading volume and price level. Our findings hold when the bid-ask spread is estimated utilising high frequency data. We find that the bid-ask spread prior to earnings announcements dates is significantly higher than that of post earnings announcements, suggesting that asymmetric information has driven the increase in liquidity skewness. We also find that the effect of earnings announcements is more pronounced in the 2007 global financial crisis, consistent with the notion that extreme market downturns amplify asymmetric information. Our overall evidence also implies that increased competition and transparent trading environments limit market makers’ abilities to cross-subsidize bid-ask spreads between periods of high and low levels of asymmetric information. © 2017 Elsevier Inc."
"Viana D.","Viana, Diego (56702441000)","56702441000","Two Technical Images: Blockchain and High-Frequency Trading","2018","Philosophy and Technology","31","1","","77","102","25","4","10.1007/s13347-016-0247-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043307824&doi=10.1007%2fs13347-016-0247-x&partnerID=40&md5=c9ea8f8ede14b315020aa800311debbe","The article examines two digital phenomena linked to money and finance, which are the bitcoin (in particular the blockchain technology it is founded on) and high-frequency trading, through the lens of Vilém Flusser’s concept of technical image. Flusser’s theory highlights three aspects of technical images: they are engendered by the act of organizing particles, are produced by people who operate devices through keys, and are mediated by code, which is linear and pertains to the era of written text, which Flusser conflates with the notion of history. In this article, the argument focuses on the aspects of high-frequency trading and the blockchain that relate to the idea of images. The sections investigate how money has historically operated in the logic of Flusser’s description of symbol manipulation in relation to consciousness and temporality: from the circular time of magical consciousness to the linear time of historical consciousness, and more recently, to the non-dimensional time of post-historical consciousness. The article argues that there are two levels, or layers, in the images involved in cryptocurrencies or algorithmic trading, but only one of them is visible to the human operator or viewer, in the form of a price. The other, which indeed represents the operations in the system, is only accessible to the machines themselves. The questions raised concern the role of these recent digital financial and monetary forms in the development of a reality dominated by apparatuses and technical images. © 2016, Springer Science+Business Media Dordrecht."
"Kao D.-X.; Tsai W.-C.; Wang Y.-H.; Yen K.-C.","Kao, Dian-Xuan (57194269976); Tsai, Wei-Che (55088512800); Wang, Yaw-Huei (8412506900); Yen, Kuang-Chieh (57194267286)","57194269976; 55088512800; 8412506900; 57194267286","An analysis on the intraday trading activity of VIX derivatives","2018","Journal of Futures Markets","38","2","","158","174","16","4","10.1002/fut.21857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019597524&doi=10.1002%2ffut.21857&partnerID=40&md5=8da7d3400ae8e7e55d43d7ebdb06a5bf","We investigate the relation between trading activity in the VIX derivative markets and changes in the VIX index under a high-frequency framework. We find a significant relation between the signed trading variables of VIX futures and the contemporaneous changes in the VIX index. In addition, the net signed trading variables of VIX futures are significant predictors of future changes in the VIX index. Our results provide support for the informational role of VIX futures and evidence that trading activity in VIX options is likely caused by temporary liquidity shocks rather than the likelihood of informed trading. © 2017 Wiley Periodicals, Inc."
"Stasiak M.D.","Stasiak, Michał Dominik (55453052500)","55453052500","Modelling of currency exchange rates using a binary-wave representation","2018","Advances in Intelligent Systems and Computing","657","","","27","37","10","3","10.1007/978-3-319-67223-6_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029542392&doi=10.1007%2f978-3-319-67223-6_3&partnerID=40&md5=fe29cba28b4c431f96a8b8c062042b44","Exchange rate of a currency pair can be visualized in a binary representation. Binarization algorithm transforms the course trajectory represented by tick data into an appropriate binary string. This kind of representation allows for a far more precise analysis and can be applied in HFT systems. In the following article a state model for exchange rate in binary representation with use of wave relations is proposed. In the model, states corresponding to particular price change patterns and wave types were defined. The wave detection process uses respective algorithms of wave detection in binary representation. In the article, research was performed for EUR/SEK currency pair with main focus on the possible application of abovementioned model in creating a HFT system with a positive rate of return. © 2018, Springer International Publishing AG."
"Ito T.","Ito, Takatoshi (55237651100)","55237651100","Machines versus Humans: Will Human Forex Dealers Become Extinct?","2018","The Changing Fortunes of Central Banking","","","","240","259","19","0","10.1017/9781108529549.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138915707&doi=10.1017%2f9781108529549.015&partnerID=40&md5=c5ec50b697ce2201695d2af6d863cce9","The market microstructure of the foreign exchange markets has gone through many changes in the last thirty years. By the early 2000s, the interbank human brokers were almost all replaced by electronic broking systems, which centralised interbank trading. From the mid-1990s, bank computers, and later other financial institutions’ ones, with algorithmic trading programs were allowed to be connected to the electronic broking computers directly. On the one hand, bank computers made the market more efficient and more liquid, eliminating market anomalies. On the other hand, high frequency trading strategies turned away human dealers. Many microstructure changes in the 2010s, such as minimum quote life and retreating from decimalisation to half pip price unit, were designed to protect human dealers. The most recent innovations in the market is the emergence of dark pools, where banks operate in-house order matching systems, that takes trading away from electronic broking systems. Although dark pools may increase efficiency by allowing netting of orders at the bank level, transparency may be a concern. Human dealers may provide heterogeneity among market participants that may prevent a potential flash crash. © Philipp Hartmann, Haizhou Huang and Dirk Schoenmaker 2018."
"Arena L.; Oriol N.; Veryzhenko I.","Arena, Lise (55361826600); Oriol, Nathalie (55775547700); Veryzhenko, Iryna (42462666400)","55361826600; 55775547700; 42462666400","""Too fast, too furious""?: Algorithmic trading and financial market instability; [""Too Fast, Too Furious"" ? Trading algorithmique et instabilité des marchés financiers]","2018","Systemes d'Information et Management","23","2","","81","106","25","1","10.9876/sim.v23i2.856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052237430&doi=10.9876%2fsim.v23i2.856&partnerID=40&md5=3a1aee5dfcce69b042a45ce3f01784a8","En quoi les stratégies de trading algorithmique peuvent-elles expliquer la propagation de flash crashes sur le marché financier ? L'originalité de traiter cette question réside dans le besoin de croiser deux champs disciplinaires: la finance de marché et la gestion des systèmes d'information. Cet article se fonde sur une approche de simulation multi-agents construite à partir d'une catégorisation réaliste des stratégies des traders, de leurs recours aux systèmes de trading algorithmique et du rôle des systèmes transactionnels d'appariement au niveau du marché. Parmi les résultats exposés, nous montrons qu'en favorisant les stratégies fondées sur la vitesse, l'usage des nouvelles technologies peut porter atteinte à la résilience et à la stabilité des marchés face à de potentiels chocs opérationnels intra journaliers. Nous montrons également, à travers l'illustration de la décimalisation, les conséquences d'un changement de règle sur l'anatomie du crash, et le rôle des systèmes de traitement transactionnels dans la propagation de ces crises financières d'un genre nouveau. © 2018 Systèmes d'Information et Management (French Journal of Management Information Systems).; To what extent can algorithmic trading-based strategies explain the propagation of flash crashes on financial markets? This question has to be discussed at the intersection of two disciplinary fields: management of information systems and finance. Built on realistic assumptions on traders' strategies, on their use of algorithmic information systems and considering the role of transactions systems at the market level, an agent-based approach is presented. Final results show that speed-oriented trading strategies and the increasing use of new trading technologies can arm markets' stability and resiliency, facing intraday operational shocks. The article also shows the central role played by transactions systems in the propagation of flash crashes, when a new regulation based on the principle of decimalization is introduced. © 2018 Systèmes d'Information et Management (French Journal of Management Information Systems)."
"Mikkelsen A.","Mikkelsen, Andreas (59022904000)","59022904000","Pairs trading: the case of Norwegian seafood companies","2018","Applied Economics","50","3","","303","318","15","5","10.1080/00036846.2017.1321837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018165158&doi=10.1080%2f00036846.2017.1321837&partnerID=40&md5=b6b0be369ffad2818ac5fa6c5badb20a","In this article, I investigate the performance of a pairs trading strategy on 18 seafood company stocks traded in the Norwegian consumer goods sector on the Oslo Stock Exchange. I apply both high-frequency and daily data from January 2005 to December 2014. I use two approaches–a distance approach and a cointegration approach–and compare the results. For both the distance and the cointegration approaches, nonconvergence of the pairs is high, which may indicate that more fundamental information about the companies traded should be accounted for. None of the strategies evaluated had significant profits after accounting for transaction costs. It therefore remains unclear which approach is best suited for pairs selection. Using high-frequency data yielded empirical distributions that were symmetrical and had a lower degree of leptokurtosis compared to the daily data. © 2017 Informa UK Limited, trading as Taylor & Francis Group."
"Gong Y.; Chen Q.; Liang J.","Gong, Yuting (56544943800); Chen, Qiang (57191483308); Liang, Jufang (57192186711)","56544943800; 57191483308; 57192186711","A mixed data sampling copula model for the return-liquidity dependence in stock index futures markets","2018","Economic Modelling","68","","","586","598","12","21","10.1016/j.econmod.2017.03.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017169764&doi=10.1016%2fj.econmod.2017.03.023&partnerID=40&md5=35fac70b8fcd329a3e1e3daef81a1f33","Understanding and quantifying the dependence of returns and liquidity is critical for liquidity risk management. In this paper the idea of mixed data sampling (MIDAS) is extended from linear correlation in Colacito et al. (2011) to the more general dependence measure: copula, and a copula-MIDAS model is proposed to describe the asymmetric return-liquidity dependence of CSI 300 index futures with short-run and long-run components. Based on the skewed t copula-MIDAS model, it is found that extreme decreases in returns tend to be accompanied by extreme increases in bid-ask spreads, but extreme increases in returns may not coincide with extreme reductions in bid-ask spreads. Furthermore, the return-spread dependence consists of both short-run and long-run components, and the long-run component will influence the return-spread dependence in the next two weeks. Last, the out-of-sample forecast of liquidity risk stresses the importance of considering asymmetry and long-run trend in return-spread dependence as it enables investors to well predict liquidity risk in times of market crashes. The results imply that high frequency trading investors of CSI 300 index futures should pay more attentions to prevent the potential liquidity risk when the bid-ask spreads are widened. And investors are suggested to use the past two-week high frequency data to forecast the current return-spread dependence in liquidity risk management. © 2017 Elsevier Ltd"
"Yoon S.; Suge A.; Takahashi H.","Yoon, Sungjae (57202888742); Suge, Aiko (57202894209); Takahashi, Hiroshi (55711666800)","57202888742; 57202894209; 55711666800","Do news articles have an impact on trading? - Korean market studies with high frequency data","2018","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10838 LNAI","","","129","139","10","1","10.1007/978-3-319-93794-6_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049697435&doi=10.1007%2f978-3-319-93794-6_9&partnerID=40&md5=d46d7f8a2bc4ae933e875d6560e8c3f7","News is an important source of information for investment decision-making. Many studies analyzing listed companies in the US & Japan have been reported. However, the number of studies focusing on Korean stock markets is limited. This study analyzes the influence of news articles on Korean stock markets with high frequency trading data. Especially, we focus on analyses of the relationship between news articles and financial markets. Furthermore, we also analyze differences in market reactions according to language (English or Korean) of news articles and present three case studies. © 2018, Springer International Publishing AG, part of Springer Nature."
"Pham M.C.; Duong H.N.; Lajbcygier P.","Pham, Manh Cuong (57220556773); Duong, Huu Nhan (23034032500); Lajbcygier, Paul (6603318091)","57220556773; 23034032500; 6603318091","A Comparison of the Forecasting Ability of Immediate Price Impact Models","2017","Journal of Forecasting","36","8","","898","918","20","5","10.1002/for.2405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995621430&doi=10.1002%2ffor.2405&partnerID=40&md5=4e4f26204bd4a1a2cd0945a7cba75e45","As a consequence of recent technological advances and the proliferation of algorithmic and high-frequency trading, the cost of trading in financial markets has irrevocably changed. One important change, known as price impact, relates to how trading affects prices. Price impact represents the largest cost associated with trading. Forecasting price impact is very important as it can provide estimates of trading profits after costs and also suggest optimal execution strategies. Although several models have recently been developed which may forecast the immediate price impact of individual trades, limited work has been done to compare their relative performance. We provide a comprehensive performance evaluation of these models and test for statistically significant outperformance amongst candidate models using out-of-sample forecasts. We find that normalizing price impact by its average value significantly enhances the performance of traditional non-normalized models as the normalization factor captures some of the dynamics of price impact. Copyright © 2016 John Wiley & Sons, Ltd. Copyright © 2016 John Wiley & Sons, Ltd."
"Mukhopadhyay S.","Mukhopadhyay, Sayan (56564695100)","56564695100","Advanced Data Analytics Using Python: With Machine Learning, Deep Learning and NLP Examples","2018","Advanced Data Analytics Using Python: With Machine Learning, Deep Learning and NLP Examples","","","","1","186","185","10","10.1007/978-1-4842-3450-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080667371&doi=10.1007%2f978-1-4842-3450-1&partnerID=40&md5=82845b1554215591b15d9f6c7b3e87ee","Gain a broad foundation of advanced data analytics concepts and discover the recent revolution in databases such as Neo4j, Elasticsearch, and MongoDB. This book discusses how to implement ETL techniques including topical crawling, which is applied in domains such as high-frequency algorithmic trading and goal-oriented dialog systems. You’ll also see examples of machine learning concepts such as semi-supervised learning, deep learning, and NLP. Advanced Data Analytics Using Python also covers important traditional data analysis techniques such as time series and principal component analysis. After reading this book you will have experience of every technical aspect of an analytics project. You’ll get to know the concepts using Python code, giving you samples to use in your own projects. What You Will Learn Work with data analysis techniques such as classification, clustering, regression, and forecasting Handle structured and unstructured data, ETL techniques, and different kinds of databases such as Neo4j, Elasticsearch, MongoDB, and MySQL Examine the different big data frameworks, including Hadoop and Spark Discover advanced machine learning concepts such as semi-supervised learning, deep learning, and NLP Who This Book Is For Data scientists and software developers interested in the field of data analytics. © 2018 by Sayan Mukhopadhyay."
"Elizarov M.; Ivanyuk V.; Soloviev V.; Tsvirkun A.","Elizarov, Mikhail (57200286050); Ivanyuk, Vera (55859129700); Soloviev, Vladimir (25925405400); Tsvirkun, Anatoliy (6603508199)","57200286050; 55859129700; 25925405400; 6603508199","Identification of high-frequency traders using fuzzy logic methods","2017","Proceedings of 2017 10th International Conference Management of Large-Scale System Development, MLSD 2017","","","8109615","","","","11","10.1109/MLSD.2017.8109615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040630964&doi=10.1109%2fMLSD.2017.8109615&partnerID=40&md5=884b37ad1c12a0b121231720d6708a42","Nowadays there is no single definition of high-frequency traders (HFT). In this paper HFT were classified as traders that have low value of the average of 10% of shortest position holding times, low value of the average of the ratios of end-of-day position to volume traded and high ratio of canceled orders to submitted orders. For these ratios, the fuzzy membership functions were constructed based on the analysis of the related literature. Then, for various cutoffs of membership functions, traders were classified as HFT or non-HFT. For given set of features and membership functions the share of HFT volume traded at USDRUB-TOM at MOEX FX Market (March-May 2017) was estimated between 40% and 60%. © 2017 IEEE."
"Chen J.-C.; Zhou Y.; Wang X.","Chen, Jing-Chao (57192309364); Zhou, Yu (55730410400); Wang, Xi (57192313889)","57192309364; 55730410400; 57192313889","Profitability of simple stationary technical trading rules with high-frequency data of Chinese Index Futures","2018","Physica A: Statistical Mechanics and its Applications","492","","","1664","1678","14","9","10.1016/j.physa.2017.11.088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035349980&doi=10.1016%2fj.physa.2017.11.088&partnerID=40&md5=851b45a6764a47e214c2c9b2b227360b","Technical trading rules have been widely used by practitioners in financial markets for a long time. The profitability remains controversial and few consider the stationarity of technical indicators used in trading rules. We convert MA, KDJ and Bollinger bands into stationary processes and investigate the profitability of these trading rules by using 3 high-frequency data(15s,30s and 60s) of CSI300 Stock Index Futures from January 4th 2012 to December 31st 2016. Several performance and risk measures are adopted to assess the practical value of all trading rules directly while ADF-test is used to verify the stationarity and SPA test to check whether trading rules perform well due to intrinsic superiority or pure luck. The results show that there are several significant combinations of parameters for each indicator when transaction costs are not taken into consideration. Once transaction costs are included, trading profits will be eliminated completely. We also propose a method to reduce the risk of technical trading rules. © 2017 Elsevier B.V."
"Frijns B.; Indriawan I.; Tourani-Rad A.","Frijns, Bart (15070392400); Indriawan, Ivan (38361566100); Tourani-Rad, Alireza (6507830742)","15070392400; 38361566100; 6507830742","The interactions between price discovery, liquidity and algorithmic trading for U.S.-Canadian cross-listed shares","2018","International Review of Financial Analysis","56","","","136","152","16","22","10.1016/j.irfa.2018.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041630019&doi=10.1016%2fj.irfa.2018.01.005&partnerID=40&md5=3ecc5ef2c977568910a063df75e6f871","We analyze price discovery dynamics for Canadian companies cross-listed on the NYSE from January 2004 to August 2017. We employ a structural vector autoregression to assess the interactions between price discovery, liquidity and algorithmic trading activity. We observe that over time, the U.S. market is gaining dominance in terms of price discovery. Improvements in liquidity increase a market's contribution to price discovery, and vice versa. We find that algorithmic trading activity is negatively related to price discovery, indicating negative externalities of high-frequency trading. These results are robust to fragmentation in the Canadian financial markets as well as regulatory changes in both the U.S. and Canada. © 2018 Elsevier Inc."
"Zhou N.; Zhou X.; Zhang X.; Du X.; Wang S.","Zhou, Ningnan (56244874700); Zhou, Xuan (55522590500); Zhang, Xiao (56245879600); Du, Xiaoyong (8552775200); Wang, Shan (8552775300)","56244874700; 55522590500; 56245879600; 8552775200; 8552775300","Reordering Transaction Execution to Boost High-Frequency Trading Applications","2017","Data Science and Engineering","2","4","","301","315","14","4","10.1007/s41019-017-0054-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065017179&doi=10.1007%2fs41019-017-0054-0&partnerID=40&md5=ba8582e9bc7bcb7e2f8d380c79f648e5","High-frequency trading (HFT) has always been welcomed because it benefits not only personal benefits but also the whole social welfare. While the recent advance of portfolio selection in HFT market enables to bring about more profit, it yields much contended OLTP workloads. Featuring exploiting the abundant parallelism, transaction pipeline, the state-of-the-art concurrency control (CC) mechanism, however, suffers from limited concurrency confronted with HFT workloads. Its variants that enable more parallel execution by leveraging fine-grained contention information also take little effect. To solve this problem, we for the first time observe and formulate the source of restricted concurrency as harmful ordering of transaction statements. To resolve harmful ordering, we propose PARE, a pipeline-aware reordered execution, to improve application performance by rearranging statements in order of their degrees of contention. In concrete, two mechanisms are devised to ensure the correctness of statement rearrangement and identify the degrees of contention of statements, respectively. We also study the off-line reordering problem. We prove that this problem is NP-hard and present an off-line reordering approach to approximate the optimal reordering strategy. Experiment results show that PARE can improve transaction throughput and reduce transaction latency on HFT applications by up to an order of magnitude than the state-of-the-art CC mechanism. © 2017, The Author(s)."
"Gao C.; Mizrach B.","Gao, Cheng (55549218100); Mizrach, Bruce (7801350064)","55549218100; 7801350064","High Frequency Trading in the Equity Markets During US Treasury POMO","2018","Dynamic Modeling and Econometrics in Economics and Finance","24","","","81","103","22","1","10.1007/978-3-319-98714-9_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052051364&doi=10.1007%2f978-3-319-98714-9_4&partnerID=40&md5=28d0c3b1c33bde4428bc2e7f16eed9d8","We analyze high frequency trading (HFT) activity in equities during US Treasury permanent open market (POMO) purchases by the Federal Reserve. We construct a model to study HFT quote and trade behavior when private information is released and confirm it empirically. We estimate that HFT firms reduce their inside quote participation by up to 8% during POMO auctions. HFT firms trade more aggressively, and they supply less passive liquidity to non-HFT firms. Market impact also rises during Treasury POMO. Aggressive HFT trading becomes more consistently profitable, and HFT firms earn a higher return per share. We also estimate that HFT firms earn profits of over $105 million during US Treasury POMO events. © 2018, Springer Nature Switzerland AG."
"Vaitonis M.; Masteika S.","Vaitonis, Mantas (56527190200); Masteika, Saulius (6504396149)","56527190200; 6504396149","CPU and GPU implementations for high frequency trading in algorithmic finance","2018","CEUR Workshop Proceedings","2145","","","119","124","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050957752&partnerID=40&md5=9ea1b2f0208306967511cc631b746754","Today algorithmic trading and High Frequency Trading (HFT) account for a dominant part of overall trading volume in financial markets. The trade execution time has grown from daily trading to microseconds and nanoseconds.. A modern GPU allows hundreds of operations to be performed in parallel, leaving the CPU free to execute other jobs. The main objective of this research was to test the possibility and quantify how much higher speedups the use of GPUs can bring in calculations of HFT statistical arbitrage algorithms. In the research MATLAB software was applied for GPU application and computations. The statistical arbitrage- pair trading algorithm was parallelized in order to adapt it to GPU application. The effectiveness was measured according to time CPU and GPU did spent working on historical data using pair trading strategy. In the paper the final results of the research are presented and discussed. The results have proven up to 30% increase in computational speed with the application of statistical arbitrage algorithm in HFT. Copyright held by the author(s)."
"Budhathoki D.R.; Dasgupta D.; Jain P.","Budhathoki, Daya Ram (57201793361); Dasgupta, Dipankar (7103226630); Jain, Pankaj (34975472600)","57201793361; 7103226630; 34975472600","Big data framework for finding patterns in multi-market trading data","2018","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10968 LNCS","","","237","250","13","1","10.1007/978-3-319-94301-5_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049376843&doi=10.1007%2f978-3-319-94301-5_18&partnerID=40&md5=d22ca7e199c441e9506da63ec179ef2a","In the United States, multimarket trading is becoming very popular for investors, professionals and high-frequency traders. This research focuses on 13 exchanges and applies data mining algorithm, an unsupervised machine learning technique for discovering the relationships between stock exchanges. In this work, we used an association rule (FP-growth) algorithm for finding trading pattern in exchanges. Thirty days NYSE Trade and Quote (TAQ) data were used for these experiments. We implemented a big data framework of Spark clusters on the top of Hadoop to conduct the experiment. The rules and co-relations found in this work seems promising and can be used by the investors and traders to make a decision. © Springer International Publishing AG, part of Springer Nature 2018."
"Wan D.; Yang X.","Wan, Die (56306140000); Yang, Xiaoguang (56152105000)","56306140000; 56152105000","High-Frequency Positive Feedback Trading and Market Quality: Evidence from China's Stock Market","2017","International Review of Finance","17","4","","493","523","30","16","10.1111/irfi.12116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010601237&doi=10.1111%2firfi.12116&partnerID=40&md5=476f0730b994d06c02b30018557696c2","This paper managed to measure the positive feedback trading intensity and its asymmetry with high-frequency transaction data of China's individual stocks. The intraday positive feedback trading is found to be heterogeneous, and buying-winners effect is significantly stronger than selling-losers effect. In general, the high-frequency asymmetric positive feedback trading's impact on market quality is mixed: The intraday positive feedback trades contribute to a liquid and active-trading market but at the same time slow down the price discovery process and reduce the price efficiency. © 2017 International Review of Finance Ltd. 2017"
"Martins C.J.L.","Martins, Carlos Jorge Lenczewski (57201583304)","57201583304","Toxic liquidity - Is it here to stay?","2018","Bank i Kredyt","49","1","","1","16","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045296170&partnerID=40&md5=0e8e8e4fe751b47f11117fff7f68fffe","Algorithmic trading and high-frequency trading (HFT) volume in the financial market has dynamically increased mainly since the technological revolution of the 2000's. Turnover from HFT alone may be around 40% and 60% for the European and US equity markets, accordingly. The activity of algorithmic and high-frequency trading has also caused some concerns related to toxic liquidity in the financial market. These concerns reached their peak after the Flash Crash of 6 May 2010 in the US. After some reports of the Flash Crash reached the conclusion that what triggered the freefall was an algorithm, there were questions on whether HFT traders could induce toxic liquidity. The aim of this paper is to present sources and conditions for which toxic liquidity may arise, as well as arguments that high-frequency traders may not necessarily be the source of toxic liquidity. Not only can they be a legitimate source of natural liquidity but also toxic liquidity may actually be attributable to low frequency traders. This paper is based on scarce empirical research available (mainly for the US market) and as such, it is intended to encourage further analysis and research on this important topic. © 2018 Narodowy Bank Polski. All rights reserved."
"Cartlidge J.; Cliff D.","Cartlidge, John (6603957795); Cliff, Dave (55453739200)","6603957795; 55453739200","Modelling complex financial markets using real-time human–agent trading experiments","2018","Springer Proceedings in Complexity","","","","35","69","34","7","10.1007/978-3-319-99624-0_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057259678&doi=10.1007%2f978-3-319-99624-0_3&partnerID=40&md5=efaf95ad1f60f38d60812b4f584d07d9","To understand the impact of high-frequency trading (HFT) systems on financial-market dynamics, a series of controlled real-time experiments involving humans and automated trading agents were performed. These experiments fall at the interdisciplinary boundary between the more traditional fields of behavioural economics (human-only experiments) and agent-based computational economics (agent-only simulations). Experimental results demonstrate that: (a) faster financial trading agents can reduce market efficiency—a worrying result given the race towards zero-latency (ever faster trading) observed in real markets; and (b) faster agents can lead to market fragmentation, such that markets transition from a regime where humans and agents freely interact to a regime where agents are more likely to trade between themselves—a result that has also been observed in real financial markets. It is also shown that (c) realism in experimental design can significantly alter market dynamics—suggesting that, if we want to understand complexity in real financial markets, it is finally time to move away from the simple experimental economics models first introduced in the 1960s. © Springer Nature Switzerland AG 2018."
"Shen K.; Yao J.; Li W.K.","Shen, Keren (57200151855); Yao, Jianfeng (7403503451); Li, Wai Keung (14015971200)","57200151855; 7403503451; 14015971200","On the surprising explanatory power of higher realized moments in practice","2018","Statistics and its Interface","11","1","","153","168","15","4","10.4310/SII.2018.v11.n1.a13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039975910&doi=10.4310%2fSII.2018.v11.n1.a13&partnerID=40&md5=6cd258d4e7b7556d32c7c7ce301fb09f","Realized moments of higher order computed from intraday returns have been introduced in recent years. The literature indicates that realized skewness is an important factor in explaining future asset returns. However, the literature mainly focuses on the whole market, as well as the monthly or weekly scale. In this paper, we conduct an extensive empirical analysis to investigate the forecasting abilities of realized skewness and realized kurtosis towards an individual stock's future return and variance in the daily scale. It is found that realized kurtosis possesses significant forecasting power for the stock's future variance and in contrast with the existing literature, realized skewness is lack of explanatory power of future daily returns for individual stocks in the short term."
